time,hwins,twins,helec,telec
2016-11-07 15:31:15.321000,0.713,0.274,302.672,234.494
2016-11-07 15:31:47.176525,0.723,0.266,301.435,235.755
2016-11-07 15:32:59.203823,0.736,0.253,302.266,234.852
2016-11-07 15:33:23.608000,0.728,0.26,301.922,235.292
2016-11-07 15:34:11.085664,0.755,0.235,305.61,231.682
2016-11-07 15:34:45.136000,0.714,0.276,299.993,237.329
2016-11-07 15:35:23.152979,0.693,0.297,299.208,238.042
2016-11-07 15:35:38.157000,0.709,0.277,300.387,237.013
2016-11-07 15:36:17.527000,0.711,0.278,299.002,238.416
2016-11-07 15:36:35.420278,0.729,0.263,301.774,235.572
2016-11-07 15:37:19.306000,0.73,0.253,305.527,231.734
2016-11-07 15:37:47.415354,0.705,0.287,302.298,234.928
2016-11-07 15:37:57.748000,0.725,0.265,302.646,234.586
2016-11-07 15:38:17.168000,0.733,0.262,302.846,234.494
2016-11-07 15:38:51.282000,0.712,0.284,301.391,235.775
2016-11-07 15:38:59.692532,0.745,0.242,303.502,233.814
2016-11-07 15:39:08.231000,0.745,0.243,305.272,231.912
2016-11-07 15:39:20.563000,0.697,0.286,299.208,237.898
2016-11-07 15:39:35.459000,0.733,0.258,301.956,235.287
2016-11-07 15:40:11.641824,0.727,0.263,303.925,233.313
2016-11-07 15:41:08.910000,0.721,0.27,299.055,238.165
2016-11-07 15:41:23.549214,0.731,0.257,302.289,234.913
2016-11-07 15:41:30.814000,0.715,0.274,301.331,235.943
2016-11-07 15:41:53.431000,0.758,0.229,307.383,229.801
2016-11-07 15:42:35.552336,0.725,0.26,303.146,234.133
2016-11-07 15:43:19.261000,0.741,0.25,303.523,233.672
2016-11-07 15:43:47.640643,0.724,0.267,301.863,235.477
2016-11-07 15:44:59.615165,0.747,0.235,303.163,234.033
2016-11-07 15:46:11.910534,0.741,0.253,305.741,231.527
2016-11-07 15:47:23.901638,0.716,0.271,302.515,234.825
2016-11-07 15:48:36.066147,0.729,0.26,302.208,235.072
2016-11-07 15:49:48.930974,0.734,0.254,302.888,234.44
2016-11-07 15:51:01.971656,0.716,0.274,300.511,236.787
2016-11-07 15:52:14.514448,0.712,0.28,301.326,235.984
2016-11-07 15:53:26.290259,0.704,0.285,300.15,237.106
2016-11-07 15:54:38.204535,0.697,0.292,299.714,237.41
2016-11-07 15:55:50.244845,0.716,0.277,301.236,236.032
2016-11-07 15:57:02.222572,0.742,0.252,302.07,235.228
2016-11-07 15:58:14.530551,0.733,0.257,303.241,234.015
2016-11-07 15:59:27.296663,0.72,0.268,302.679,234.577
2016-11-07 16:00:39.211687,0.708,0.282,299.222,238.046
2016-11-07 16:01:51.559000,0.718,0.273,301.545,235.759
2016-11-07 16:03:04.258563,0.73,0.264,301.64,235.586
2016-11-07 16:04:16.715130,0.71,0.281,299.937,237.258
2016-11-07 16:11:13.482000,0.7272,0.2635,301.8949,235.3637
2016-11-07 16:12:07.609000,0.7277,0.263,302.1967,235.0899
2016-11-07 16:13:56.773000,0.7255,0.2653,302.2837,234.9783
2016-11-07 16:17:31.774000,0.7194,0.2708,302.7741,234.4776
2016-11-07 16:18:49.506000,0.717,0.2726,301.5022,235.7723
2016-11-07 16:20:15.825080,0.7282,0.2631,302.7349,234.5133
2016-11-07 16:21:54.626825,0.7209,0.2681,301.5442,235.7471
2016-11-07 16:23:34.650980,0.7291,0.2622,302.4924,234.7858
2016-11-07 16:25:13.887701,0.7215,0.271,302.0443,235.2507
2016-11-07 16:26:53.252756,0.7208,0.2684,301.866,235.3593
2016-11-07 16:28:31.937106,0.7288,0.2625,302.7484,234.5177
2016-11-07 16:31:12.830894,0.7335,0.2582,303.5389,233.7126
2016-11-07 16:32:51.588295,0.7269,0.2624,302.7478,234.5064
2016-11-07 16:34:30.315172,0.723,0.2655,301.5742,235.686
2016-11-07 16:36:10.791419,0.7268,0.2628,302.0791,235.1727
2016-11-07 17:09:59.995000,0.7266,0.2622,302.77,234.4962
2016-11-07 17:21:30.782000,0.718,0.2735,301.7015,235.5611
2016-11-07 17:26:30.366000,0.7245,0.2657,302.0519,235.2203
